Key,English Value,Kurdish Translation
Edit_Asset,Edit Asset,دەستکاری سەرمایە
Edit_Collection,Edit Collection,دەستکاری کۆکردنەوە
Edit_Customer,Edit Customer,دەستکاری کڕیار بکە
Edit_Damage,Edit Damage,دەستکاری زیانەکان بکە
edit_employee,Edit employee,دەستکاری کارمەند بکە
Edit_Expense,Edit Expense,خەرجیی دەستکاریکردن
Edit_Online_Store_Account,Edit Online Store Account,دەستکاری ئەکاونتی فرۆشگای ئۆنلاین بکە
Edit_Payment,Edit Payment,دەستکاری پارەدان
Edit_Permission,Edit Permission,دەستکاری مۆڵەت بکە
Edit_Project,Edit Project,دەستکاری پڕۆژە
Edit_Provider,Edit Provider,دەستکاری دابینکەر
Edit_Shipping,Edit Shipping,دەستکاری گەیاندن
Edit_Task,Edit Task,دەستکاری ئەرک
edit_tax_and_discount_and_shipping,edit tax and discount and shipping,دەستکاری باج و داشکاندن و گەیاندن
Effective_Rate,Effective rate,ڕێژەی کاریگەر
Email,Email,ئیمەیڵ
EmailCustomer,Email Customer,ئیمەیڵ کڕیار
EmailPurchase,Send Purchase on Email,لە ئیمەیڵدا کڕین بنێرە
EmailReturn,Send Return on Email,ناردنی گەڕانەوە لە سەر ئیمەیڵ
EmailSale,Send Sale on Email,لە ئیمەیڵدا فرۆشتن بنێرە
EmailSupplier,Supplier Email,ئیمەیڵی دابینکەر
Email_Address,Email Address,ناونیشانی ئیمەیڵ
Email_body,Email body,ئیمەیڵ بۆدی
email_notification,Email notification,ئاگادارکردنەوە لە ئیمەیڵ
Email_Subject,Email Subject,ئیمەیڵ بابەت
email_templates,Email Templates,قاڵبی ئیمەیڵ
Employee,Employee,کارمەند
Employees,Employees,کارمەندان
Employee_Details,Employee Details,وردەکارییەکانی کارمەند
Employment_type,Employment type,جۆری دامەزراندن
Enable,Enable,چالاک کردن
Enabled,Enabled,چالاک کراوە
Enable_Auto_Sync,Enable auto sync,چالاککردنی Auto Sync
Enable_Print_Invoice,Print Invoice automatically,بە شێوەیەکی ئۆتۆماتیکی فاکتورەی چاپ بکە
Enable_ZATCA_QR_on_Sales_Receipts,Enable ZATCA QR on Sales Receipts,Zatca QR چالاک بکە لەسەر پسوڵەی فرۆشتن
EnAttendant,Pending,هەڵپەسێردراو
encryption,MAIL_ENCRYPTION,mail_encryption
Entered_points_exceed_available,Entered points exceed available,خاڵەکانی چوونە ژوورەوە لە بەردەست زیاترە
Enter_account_name,Enter account name,ناوی ئەکاونتەکە بنووسە
Enter_account_num,Enter account num,ئەژمار بنووسە num
Enter_Address,Enter Address,ناونیشان بنووسە
Enter_Annual_Leave,Enter Annual Leave,چوونە ژوورەوەی مۆڵەتی ساڵانە
Enter_Attendance_date,Enter attendance date,بەرواری ئامادەبوون بنووسە
Enter_Bank_Branch,Enter Bank Branch,ENTER BANK BRANCH
Enter_Bank_Name,Enter Bank Name,ناوی بانکی بنووسە
Enter_Bank_Number,Enter Bank Number,ژمارەی بانکی بنووسە
Enter_Basic_salary,Enter Basic salary,مووچەی بنەڕەتی بنووسە
Enter_Birth_date,Enter birth date,بەرواری لەدایکبوون بچۆرە ژوورەوە
Enter_City,Enter City,چوونە ناو شار
Enter_City_Warehouse,Enter Warehouse City,چوونە ژوورەوەی شارە کۆگاکان
Enter_Code_category,Enter category Code,کۆدی پۆل دابنێ
Enter_Code_Currency,Enter Code Currency,کۆدی کۆد دابنێ
Enter_Company_Country,Enter company country,چوونە ناو کۆمپانیا وڵات
Enter_Company_Name,Enter company name,ناوی کۆمپانیا بنووسە
Enter_Company_Phone,Enter company phone,تەلەفۆنی کۆمپانیا بکە
Enter_Country,Enter Country,چوونە ناو وڵات
Enter_Country_Warehouse,Enter Warehouse Country,ENTER Warehouse Country
Enter_Department_Name,Enter department name,ناوی بەشەکە بنووسە
Enter_Description,Enter Description,وەسف بنووسە
Enter_Description_Brand,Enter Description Brand,پێناسەی براند بکە براند
Enter_email_address,Enter email address,ناونیشانی ئیمەیڵ بنووسە
Enter_Email_Warehouse,Enter Warehouse Email,ئیمەیڵی کۆگا بنووسە
Enter_Facebook,Enter Facebook,فەیسبووک بنووسە
Enter_Finish_date,Enter finish date,بەرواری تەواوکردن بنووسە
Enter_FirstName,Enter First Name,ناوی یەکەم بنووسە
Enter_Hourly_rate,Enter Hourly rate,ڕێژەی کاتژمێری دابنێ
Enter_initial_balance,Enter initial balance,هاوسەنگی سەرەتایی دابنێ
Enter_joining_date,Enter joining date,بەرواری بەشداریکردن بنووسە
Enter_LastName,Enter Last Name,ناوی کۆتایی بنووسە
Enter_Leaving_Date,Enter Leaving Date,بەرواری جێهێشتن بنووسە
Enter_LinkedIn,Enter LinkedIn,لینکیدئین بنووسە
Enter_location,Enter location,شوێن بنووسە
Enter_Minimum_Selling_Price,Enter Minimum Selling Price,کەمترین نرخی فرۆشتن بنووسە
Enter_Name_Brand,Enter Name Brand,ناوی براند بنووسە
Enter_name_category,Enter category Name,ناوی پۆلەکە بنووسە
Enter_name_Currency,Enter name Currency,ناوی خۆت دابنێ دراو
Enter_Name_Product,Enter Name Product,ناوی بەرهەمەکە بنووسە
Enter_Name_Unit,Enter Unit Name,ناوی یەکەی بنووسە
Enter_Name_Warehouse,Enter Warehouse Name,ناوی کۆگاکە بنووسە
Enter_New_Credit_Card,Enter New Credit Card,کارتی بانکیی نوێ بنووسە
Enter_Operation_Value,Enter Operation Value,بەهای کارکردن داخڵ بکە
Enter_Payment_Method,Enter Payment Method,شێوازی پارەدان دابنێ
Enter_Phone_Number,Enter Phone Number,ژمارەی تەلەفۆن بنووسە
Enter_Phone_Warehouse,Enter Warehouse Phone,مۆبایلی کۆگا بکە
Enter_Product_Code,Enter Product Code,کۆدی بەرهەم بنووسە
Enter_Product_Cost,Enter Product Cost,تێچووی بەرهەم بنووسە
Enter_Product_Price,Enter Product Price,نرخی بەرهەمەکە بنووسە
Enter_Project_Title,Enter Project Title,ناونیشانی پڕۆژەکە بنووسە
Enter_Province,Enter Province,چوونە ناو پارێزگا
Enter_Reason_Leave,Enter Reason Leave,هۆکار دابنێ بۆ جێهێشتن
Enter_Role_Description,Enter Role Description,وەسفکردنی ڕۆڵ بنووسە
Enter_Role_Name,Enter Role Name,ناوی ڕۆڵ بنووسە
Enter_Shift_name,Enter Shift name,ناوی Shift بنووسە
Enter_ShortName_Unit,Enter shortname Unit,ناوی کورتە کورتەیەک بنووسە
Enter_Skype,Enter Skype,ENTER SKYPE
Enter_Start_date,Enter start date,بەرواری دەستپێکردن بنووسە
Enter_Stock_alert,Enter Stock alert,ئاگادارکردنەوە لە کۆگا
Enter_Store_URL,Enter store URL,URL ی فرۆشگا بنووسە
Enter_Symbol_Currency,Enter Symbol Currency,دراوی هێما ENTER
Enter_Task_Title,Enter Task Title,ناونیشانی ئەرکەکان بنووسە
Enter_the_Variant,Enter the Variant,جۆرەکە بنووسە
Enter_title,Enter title,ناونیشان بنووسە
Enter_Twitter,Enter Twitter,Twitter بنووسە
Enter_warranty_terms,Enter warranty terms,مەرجەکانی گەرەنتی دابنێ
Enter_WhatsApp,Enter WhatsApp,WhatsApp بنووسە
Enter_Wholesale_Price,Enter Wholesale Price,نرخی بە تاک و کۆ بنووسە
Enter_ZipCode_Warehouse,Enter Warehouse Zip Code,کۆدی زیپی کۆگا بنووسە
Enter_Zip_code,Enter Zip code,کۆدی زیپ دابنێ
Entry_Created_Draft,Entry created (draft),هاتنە ژوورەوە دروست کراوە (ڕەشنووس)
Entry_Updated,Entry updated,زانیاری نوێکراوەتەوە
Env,Env,Env
Environment,Environment,ژینگە
Equity,Equity,یەکسانی
Error,Error!,هەڵە!
Errors,Errors,هەڵەکان
Error_Logs,Error Logs,لۆگەکانی هەڵە
erroSale,This sale already linked with a Return!,ئەم فرۆشتنە پێشتر پەیوەندی بە گەڕانەوەیەوە هەیە!
Example_Code,e.g. 1000,بۆ نموونە. 1000
Example_Name,e.g. Cash,بۆ نموونە. پارەی نەختی
EXCEL,Excel,ئێکسڵ
Exp,Expiry Date,بەرواری بەسەرچوون
Expense,Expense,خەرجیی
Expenses,Expenses,خەرجیەکان
Expense_30d,Expense (30d),خەرجیی (30d)
expense_add,add expense,خەرجیی زیاد بکە
Expense_Category,Expense Category,خەرجیی خەرجییەکان
Expense_Created,This Expense has been Created,ئەم خەرجییە دروستکراوە
expense_delete,delete expense,سڕینەوەی خەرجییەکان
Expense_Deleted,This Expense has been deleted,ئەم خەرجییە سڕاوەتەوە
expense_edit,edit expense,خەرجیی دەستکاریکردن
Expense_List,All Expenses,هەموو خەرجییەکان
Expense_Report,Expense Report,ڕاپۆرتی خەرجییەکان
Expense_Updated,This Expense has been Updated,ئەم خەرجییە نوێ کراوەتەوە
Experiences,Experiences,ئەزموونەکان
Export_Excel,Export Excel,Export Excel
Export_PDF,Export PDF,هەناردەکردنی PDF
Facebook,Facebook,فەیسبووک
FactureReturnCustomers,Return Customer Invoice,گەڕانەوەی فاکتورەی کڕیار
FactureReturnSuppliers,Return Supplier Invoice,فاکتورەی دابینکەری گەڕانەوە
Failed,Failed,شکستی هێنا
Failed to add translation,Failed to add translation,شکستی هێنا لە زیادکردنی وەرگێڕان
Failed to update,Failed to update,شکستی هێنا لە نوێکردنەوە
Failed_Load_Tax_Summary,Failed to load tax summary. Please try again.,شکستی هێنا لە بارکردنی پوختەی باج. تکایە دووبارە هەوڵبدەرەوە.
Failed_to_authenticate_on_SMTP_server,Failed to authenticate on SMTP server,شکستی هێنا لە ڕەسەنایەتیکردن لەسەر سێرڤەری SMTP
Failed_to_clear_cache,Failed to clear cache,شکستی هێنا لە پاککردنەوەی کاش
Failed_to_copy_to_clipboard,Failed to copy to clipboard,شکستی هێنا لە کۆپیکردن بۆ کلیپبۆرد
Failed_to_disconnect,Failed to disconnect,شکستی هێنا لە پچڕاندنی پەیوەندی
Failed_to_generate_token,Failed to generate token,شکستی هێنا لە دروستکردنی تۆکن
Failed_to_load,Failed to load.,شکستی هێنا لە بارکردن.
Failed_to_load_audit_logs,Failed to load audit logs,شکستی هێنا لە بارکردنی لۆگەکانی وردبینی
Failed_to_load_client_stats,Failed to load client stats,شکستی هێنا لە بارکردنی ئاماری مشتەری
Failed_to_load_settings,Failed to load settings,شکستی هێنا لە بارکردنی ڕێکخستنەکان
Failed_to_load_status,Failed to load status,شکستی هێنا لە بارکردنی دۆخی
Failed_to_load_unsynced_clients,Failed to load unsynced clients,شکستی هێنا لە بارکردنی مشتەرییە بێهاوتاکان
Failed_to_save_settings,Failed to save settings,شکستی هێنا لە پاشەکەوتکردنی ڕێکخستنەکان
Failed_to_sync_clients,Failed to sync clients,شکستی هێنا لە هاوکاتکردنی مشتەرییەکان
Failed_to_update_subscription_status,Failed to update subscription status,شکستی هێنا لە نوێکردنەوەی دۆخی بەشداریکردن
Family_status,Family Status,دۆخی خێزان
Favicon,Favicon,فاڤیکۆن
Featured_Product,Featured Product,بەرهەمی تایبەت
Features,Features,تایبتمەندیەکان
Field_is_required,This Field is required,ئەم بوارە پێویستە
field_must_be_in_csv_format,Field must be in csv format,مەیدان دەبێت بە شێوەی CSV بێت
Field_optional,Field optional,مەیدانی هەڵبژاردە
file,file,فایل
Filesize,File size,قەبارەی پەڕگە
file_size_must_be_less_than_1_mega,File size must be less than 1 mega,قەبارەی پەڕگە دەبێت کەمتر بێت لە 1 مێگا
Filter,Filter,فلتەر
Filters,Filters,فلتەرەکان
Filter_by_warehouse,Filter by warehouse,فلتەر بەپێی کۆگا
Finish_Date,Finish date,بەرواری تەواوکردن
Firstname,First Name,ناوی یەکەم
Flag,Flag,ئاڵا
Font_Family,Font family,فۆنت خێزان
footer,footer,پێی
Footer_Text,Footer text,دەقی پێیەکان
Forgot_Password,Forgot Password ?,وشەی نهێنی لەبیرت کردووە ؟
friday_in,Friday In,هەینی لە
friday_out,Friday Out,هەینی دەرەوە
From,From,لە
FromWarehouse,From Warehouse,لە کۆگاوە
From_Account,From Account,لە ئەکاونتەوە
From_Intuit_Keys_Identifies_App,From Intuit Developer → Keys. This identifies your app to QuickBooks.,لە کۆمپانیای Intuit Developer → Keys. ئەمەش ئەپەکەت بۆ QuickBooks دەناسێنێت.
From_Intuit_Keys_Keep_private_rotate,From Intuit Developer → Keys. Keep this private. Rotate it if you suspect exposure.,لە کۆمپانیای Intuit Developer → Keys. ئەم تایبەتە بهێڵەرەوە. ئەگەر گومانت لە بەرکەوتن هەیە بیخولێنەرەوە.
Fullscreen,Fullscreen,فول سکرین
Gateway,SMS Gateway,دەروازەی کورتەنامە
Gender,Gender,ڕەگەز
GenerateBackup,Generate Backup,دروستکردنی پاشەکەوت
Generate_Access_Token,Generate Access Token,دروستکردنی تۆکنێکی دەستگەیشتن
Generate_New_Token,Generate New Token,دروستکردنی تۆکنێکی نوێ
Generate_new_tokens_anytime,Generate new tokens anytime to rotate access,لە هەر کاتێکدا تۆکنی نوێ دروست بکە بۆ سوڕاندنی دەستگەیشتن
Generating,Generating,دروستکردن
Go_back_to_home,Go back to homepage,بڕۆ بۆ ماڵەوە
Grand,Grand,گراند
Grand_Total,Grand Total,گراند تۆتال
Gross_Profit,Gross Profit,قازانجی گشتی
Group,Group,گروپ
GroupBy,Group by,گروپ لەلایەن
GroupPermissions,Group Permissions,مۆڵەتی گروپ
Guarantee_Period,Guarantee Period,ماوەی گرەنتی
HasGuarantee,Has Guarantee,گرەنتی هەیە
Header_Discount,Header discount,داشکاندنی سەردێڕ
Hello,Hello,سڵاو
Hero,Hero,پاڵەوان
Hero_Header,Hero header,سەرپۆشی پاڵەوان
Hero_Image,Hero image,وێنەی پاڵەوان
Hero_Subtitle,Hero subtitle,هێرۆ ژێرنووس
Hero_Title,Hero title,ناونیشانی پاڵەوان
Holiday,Holiday,پشوو
Holidays,Holidays,جەژن
Homepage_Blocks,Homepage blocks,سەرەتا بلۆکەکان
HOST,MAIL_HOST,mail_host
Hourly,Hourly,کاتژمێر بە کاتژمێر
Hourly_rate,Hourly rate,ڕێژەی کاتژمێری
How_to_Use,How to Use,چۆنێتی بەکارهێنان
hrm,HRM,HRM
ID,ID,ID
If_matching_email_exists_reuse_instead_of_duplicate,"If a matching email exists in QBO, we’ll re-use it instead of creating a duplicate.",ئەگەر ئیمەیڵێکی هاوتا لە QBO بوونی هەبێت، ئێمە لەبری ئەوەی دووبارەکردنەوەیەک دروست بکەین، دووبارە بەکاری دەهێنینەوە.
image,Image,وێنە
IMEI_SN,IMEI/SN,
Import_Customers,Import Customers,هاوردەکردنی کڕیاران
import_products,Import products,بەرهەمەکانی هاوردەکردن
Import_Purchases,Import Purchases,کڕینی هاوردەکردن
Import_Suppliers,Import Suppliers,دابینکەرانی هاوردەکردن
Inactif,Inactive,ناچالاک
Inactive,Inactive,ناچالاک
Inactive_Customers_Report,Inactive Customers Report,ڕاپۆرتی کڕیارە ناچالاکەکان
Inbound,Inbound,inbound
Include_Points_Discounts,Include points-based discounts,داشکاندنی لەسەر بنەمای خاڵەکان لەخۆ بگرە
Income,Income,داهات
IncomeExpenses,Income & Expenses,داهات و خەرجییەکان
Income_30d,Income (30d),داهات (30d)
Income_Account_Name,Income Account Name,ناوی ئەژمێری داهات
Income_Account_Name_Hint,"If left empty, we’ll use “Sales of Product Income” by default. When syncing, we’ll search QBO for an account with this exact name, if none exists, we’ll use “Sales of Product Income” by default.",ئەگەر بە بەتاڵی بمێنێتەوە، ئێمە بە شێوەی دیفۆڵت “فرۆشتنی داهاتی بەرهەم” بەکاردەهێنین. لە کاتی هاوکاتکردندا، ئێمە لە QBO دەگەڕێین بۆ ئەکاونتێک بەم ناوە وردە، ئەگەر هیچیان نەبوو، ئێمە بە شێوەی دیفۆڵت “فرۆشتنی داهاتی بەرهەم” بەکاردەهێنین.
Incomplete,Incomplete,ناتەواو
Incorrect_Login,Incorrect Login,چوونەژوورەوەی هەڵە
Inflow,Inflow,هاتنە ژوورەوە
Inflow_vs_Outflow_by_Group,Inflow vs Outflow by Group,inflow vs outflow لەلایەن گروپەوە
initial_balance,Initial balance,هاوسەنگی سەرەتایی
Input_Tax,Input Tax,باجی هاتوو
InsufficientStock,Insufficient stock for,کۆگایەکی کەم بۆ
Insufficient_stock_for,Insufficient stock for:,کۆگایەکی کەم بۆ:
Invalid,Invalid,نادروست
InvalidData,Something went wrong,شتێک بە هەڵەدا ڕۆیشت
Inventory,Inventory,لیستی کەلوپەل
Inventory_Valuation,Inventory Valuation,بەهادان بە کۆگا
Inventory_Valuation_Based_on_Average_Cost,Inventory Valuation Based on Average Cost,بەهادان بە کۆگا لەسەر بنەمای تێکڕای تێچووی
Invoice,Invoice,پسوولە
invoice_footer,Invoice footer,Fainoice Footer
Invoice_Info,Invoice Info,زانیاری فاکتورە
Invoice_POS,Invoice POS,فاکتورە POS
In_Progress,In Progress,لە پێشڕەویدا
In_Stock,In stock,لە کۆگادایە
In_Use,In Use,لە بەکارهێناندا
Is_Royalty_Eligible,Is royalty eligible,شایستەی ڕۆیاڵیتی هەیە
Items,Items,کەرەستەکان
Items_appear_realtime,Items from the POS cart will appear in real-time,شتەکان لە عەرەبانەی POS لە کاتی ڕاستەقینەدا دەردەکەون
Items_not_updating_A,Ensure the POS system is running and the display URL is actively being used.,دڵنیابە لەوەی کە سیستەمی POS کاردەکات و URLی نمایشەکە بە شێوەیەکی چالاک بەکاردەهێنرێت.
Items_not_updating_Q,Items not updating?,ئەو شتانەی کە نوێکردنەوەیان نییە؟
Items_will_appear_here_as_added_to_cart,Items will appear here as they're added to the cart,شتەکان لێرە دەردەکەون وەک چۆن زیاد دەکرێن بۆ عەرەبانەکە
ITEM_NAME,ITEM NAME,ناوی بابەت
joining_date,Joining date,بەرواری بەشداریکردن
Journal_Entries_30d,Journal Entries (30d),نووسینی گۆڤارەکان (30d)
Journal_Entries_Link,Journal Entries,نووسینی گۆڤارەکان
Journal_Entries_Subtitle,Create manual entries and browse posted journals.,دروستکردنی نووسراوەکانی دەستی و گەڕان بە گۆڤارەکانی پۆستکراودا.
Journal_Entries_Title,Journal Entries,نووسینی گۆڤارەکان
Journal_Number,Journal #%{number},گۆڤاری #%{ژمارە}
Journal_Status_Draft,Draft,ڕەشنووس
Journal_Status_Posted,Posted,پۆست کراوە
Keep,Keep,پاراستن
Laivrison,Delivery,گەیاندن
Language,Language,زمان
Languages,Languages,زمانەکان
Last4,Last 4 Digits,کۆتا ٤ ژمارە
Last5Sales,Last 5 Sales,کۆتا 5 فرۆشتن
LastInbound,Last inbound,دوایین هاتوو
LastMovement,Last movement,دوا جووڵە
lastname,Last Name,ناوی کۆتایی
LastPurchase,Last purchase,دوایین کڕین
LastSale,Last sale,دوایین فرۆشتن
Last_30_days,Last 30 days,٣٠ ڕۆژ
Last_5_Log_Entries,Last 5 log entries,کۆتا 5 نووسینی لۆگ
Last_60_days,Last 60 days,٦٠ ڕۆژ
Last_7_days,Last 7 days,کۆتا ٧ ڕۆژ
Last_90_days,Last 90 days,90 ڕۆژی ڕابردوو
Last_Sync,Last sync,دوا هاوکاتکردن
Last_Synced_Orders,Last synced orders,دوا داواکاری هاوکات
Last_Sync_Time,Last sync time,دوایین جار هاوکاتکردن
LeaveBlank,Please leave this field blank if you haven\'t changed it,تکایە ئەم مەیدانە بە بەتاڵی بهێڵەرەوە ئەگەر نەتگۆڕیوە
Leave_Reason,Leave Reason,هۆکار بەجێبهێڵە
Leave_request,Leave Request,داواکاری بەجێبهێڵە
Leave_type,Leave Type,جۆری بەجێبهێڵە
Leaving_Date,Leaving Date,رێکەوتی جێهێشتن
Level,Level,ئاست
Liabilities,Liabilities,ئیلتزاماتەکان
Liability,Liability,لێپرسراویەتی
Limit,Limit,سنوور
Lines,Lines,هێڵەکان
Line_Discount,Line discount,داشکاندنی هێڵ
LinkedIn,LinkedIn,لینكدئین
ListAdjustments,All Adjustments,هەموو ڕێکخستنەکان
ListExpenses,All Expenses,هەموو خەرجییەکان
ListofBrand,Brands,براندەکان
ListofCategory,List of Category,لیستی پۆلەکان
ListPurchases,All Purchases,هەموو کڕینەکان
ListQuotations,All Quotations,هەموو وەرگێڕانەکان
ListReturns,All Returns,هەموو گەڕانەوەکان
ListSales,All Sales,هەموو فرۆشتنەکان
ListTransfers,All Transfers,هەموو گواستنەوەکان
List_accounts,List accounts,لیستی ئەکاونتەکان
List_Deposit,List Deposit,دانانی پارەی دانەوێڵەیی
list_product_returns,list product returns,لیستی بەرهەمەکە دەگەڕێتەوە
Live_QB_company,Live QuickBooks company (real customers & invoices).,کۆمپانیای Live QuickBooks (کڕیارە ڕاستەقینەکان و فاکتورەکان).
Loading,Loading,لە بارکردن
Locale,Locale,لۆکاڵی
Location,Location,شوێن
LoginCaptcha,Login Captcha,چوونەژوورەوە Captcha
Logo,Logo,لۆگۆ
logout,Logout,چوونە دەرەوە
Looks good,Looks good,جوان دەردەکەوێت
LowStock,Quantity exceeds quantity available in stock,بڕی زیاتر لە بڕی بەردەستە لە کۆگادا
Loyalty_Eligible,Loyalty Eligible,دڵسۆزی شایستە
Loyalty_Points_Help,"When enabled, this customer will earn loyalty points on eligible purchases and can redeem them later.",کاتێک کە چالاک دەکرێت، ئەم کڕیارە خاڵەکانی دڵسۆزی لە کڕینی شایستە بەدەست دەهێنێت و دەتوانێت دواتر بیانگەڕێنێتەوە.
mail_settings,Mail Settings,ڕێکخستنەکانی پۆست
Maintenance,Maintenance,چاکردنەوە
managementCategories,Categories management,پۆلەکان بەڕێوەبردن
ManagementCurrencies,Currency Management,بەڕێوەبردنی دراو
managementTax,Tax management,بەڕێوەبردنی باج
managementUnitPurchases,Purchases Unit,یەکەی کڕین
managementUnitSales,Sales Unit,یەکەی فرۆشتن
ManagementWarehouse,Warehouse Management,بەڕێوەبردنی کۆگا
ManagerUnits,Units Management,بەڕێوەبردنی یەکەکان
Memo,Memo,یاداشت
Message,Message,پەیام
Messages,Messages,نامەکان
Method,Method,ڕێگا
Minimum_Selling_Price,Minimum Selling Price,کەمترین نرخی فرۆشتن
Min_Selling_Price,Min Selling Price,نرخی فرۆشتن
ModePaiement,Paid by,پارە دەدرێت لەلایەن
Module_Disabled_success,Module Disabled successfully,مۆدیول بە سەرکەوتوویی لەکارخراوە
Module_enabled_success,Module enabled successfully,مۆدیول بە سەرکەوتوویی چالاک کراوە
module_settings,Module Settings,ڕێکخستنەکانی مۆدیول
Monday_In,Monday In,دووشەممە لە
Monday_Out,Monday Out,دووشەممە دەرەوە
MontantReste,Amount left,بڕی ماوە
Months,Months,مانگەکان
MTD,Month to date,مانگ تا ئێستا
MultipleImage,Multiple Image,چەندین وێنە
must_be_exist,unit must already be created,پێویستە یەکەی پێشتر دروست بکرێت
Must_match_Intuit_redirect_exactly,"Must match the value on your Intuit app exactly (scheme, host, path).","دەبێت بە وردی بەهای سەر ئەپی Intuit ی خۆت بگونجێنە (Scheme, Host, Path)."
Name,Name,ناو
Namecategorie,Category Name,پۆل ناو
Name_product,Name,ناو
Negative_Stock_Report,Negative Stock Report,ڕاپۆرتی نێگەتیڤی ستۆک
Net,Net,تۆڕ
NetAdjustmentsOverTime,Net adjustments over time,ڕێکخستنی تۆڕ بە تێپەڕبوونی کات
NetCashFlow,Net Cash Flow,ڕۆیشتنی پارەی پاک
NetCashFlowOverTime,Net Cash Flow Over Time,ڕۆیشتنی پارەی پاک بە تێپەڕبوونی کات
NetQty,Net qty,تۆڕ Qty
Net_Profit,Net Profit,قازانجی پاک
Net_Purchases,Net Purchases,کڕینی تۆڕ
Net_Sales,Net Sales,فرۆشی تۆڕ
Net_Tax,Net Tax,باجی تۆڕ
Net_Unit_Cost,Net Unit Cost,تێچووی یەکە پاکەکان
Net_Unit_Price,Net Unit Price,نرخی یەکەی پاک
Never_Moved,Never moved,هەرگیز نەجووڵێت
Never_Purchased,Never purchased,هەرگیز نە کڕیوە
Never_Sold,Never sold,هەرگیز نەفرۆشراوە
New,New,نوێ
NewAdjustement,New Adjustement,ڕێکخستنی نوێ
Newpassword,New password,وشەی نهێنی نوێ
Newsletter,Newsletter,هەواڵنامە
New_Account,New Account,ئەکاونتی نوێ
New_Collection,New Collection,کۆمەڵەیەکی نوێ
New_Customer,New Customer,کڕیاری نوێ
Nexmo_SMS,Nexmo SMS,NEXMO SMS
Next,Next,داهاتوو
next_billing_date,next billing date,ڕۆژی داهاتووی فەسڵکردن
No,No,نەخێر
No changes to save,No changes to save,هیچ گۆڕانکارییەک نییە بۆ پاشەکەوتکردن
NodataAvailable,No data Available,هیچ زانیارییەک لەبەردەستدا نییە
None,None,هیچ
Note,Note,تێبینی
notes,Notes,تێبینیەکان
Note_to_customer,Note to customer,تێبینی بۆ کڕیار
Note_update,"Make sure you backup your Current version & database before you run the Upgrade , To restore it if there is an error","دڵنیابە کە تۆ پاشەکەوتت لە وەشانی ئێستات & بنکەدراوەی خۆت پێش ئەوەی Upgrade جێبەجێ بکەیت , بۆ گەڕاندنەوەی ئەگەر هەڵەیەک هەبوو"
NotFound,Page not found.,پەیج نەدۆزرایەوە.
Notice,Notice,تێبینی
Notification_Client,Notification Client,ئاگادارکردنەوە مشتەری
Notification_Supplier,Notification Supplier,دابینکەری ئاگادارکردنەوە
notification_template,Notification Template,قاڵبی ئاگادارکردنەوە
Not_Available,Not available,بەردەست نییە
Not_Balanced,Not balanced,هاوسەنگ نییە
Not_connected_to_QuickBooks,Not connected to QuickBooks.,پەیوەندی بە QuickBooksەوە نییە.
Not_Started,Not Started,دەست پێ نەکەیت
Not_Synced,Not synced,هاوئاهەنگ نە
No_actions_available,No actions available,هیچ کردارێک لەبەردەستدا نییە
No_clients_were_synced,No clients were synced,هیچ کڕیارێک هاوکات نەکرا
No_dashboard_permission,You don't have permission to view the dashboard.,تۆ مۆڵەتت نییە بۆ بینینی داشبۆردەکە.
No_items,No items,هیچ بابەتێک نییە
No_message_selected,No message selected,هیچ نامەیەک هەڵنەبژێردرا
no_name,no name,بێ ناو
No_products_in_collection_yet,No products in this collection yet,هێشتا هیچ بەرهەمێک لەم کۆمەڵەیەدا نییە
No_results,No results,هیچ ئەنجامێک نییە
No_Token_Generated_Yet,No Token Generated Yet,هیچ تۆکنێک دروست نەکراوە
Num,N°,N°
Number,Number,ژمارە
Occurred_At,Occurred At,لە
Of,of,لە
Office_Shift,Office Shift,شۆفتی ئۆفیس
Old_tokens_invalid_immediately,Old tokens become invalid immediately,یەکسەر تۆکنە کۆنەکان نادروست دەبن
OnHand,On hand,لە دەست
Online_Orders,Online Orders,داواکاری ئۆنلاین
Only_clients_without_quickbooks_customer_id_are_candidates,Only clients without quickbooks_customer_id (empty or null) are candidates.,تەنها ئەو مشتەرییانەی کە QuickBooks_Customer_ID (بەتاڵ یان پووچ) نین، کاندیدن.
Only_Unconverted,Only unconverted,تەنها نەگۆڕاو
On_Hold,On Hold,لە ڕاگرتن
oops,Oops! Page not found.,ئۆپس! پەیج نەدۆزرایەوە.
Open,Open,کردنەوە
Open Register,Open Register,تۆماری بکەرەوە
Opened,Opened,کرایەوە
Opening,Opening,کردنەوەی
OpeningStock,Opening Stock,کۆگای کردنەوەی
Opening_Balance,Opening Balance,کردنەوەی هاوسەنگی
Opening_Stock,Opening Stock,کۆگای کردنەوەی
Open_URL_on_display_device,Open the URL on your customer-facing display device,URLەکە بکەرەوە لەسەر ئامێری پیشاندانی ڕووبەڕووی کڕیارەکەت
Operation,Operation,کردە
OperationValue,Operation Value,بەهای کارکردن
Operation_Failed,Operation failed,ئۆپەراسیۆنەکە شکستی هێنا
Operation_failed_try_again,Operation failed. Please try again.,ئۆپەراسیۆنەکە شکستی هێنا. تکایە دووبارە هەوڵبدەرەوە.
Operator,Operator,ئۆپەراتۆر
Options,Options,هەڵبژاردنەکان
Order,Order,فەرمان
Ordered,Ordered,داواکراوە
Orders,Orders,داواکاری
